tissue	phecode	beta	p-value	gene	trait	r2	OR	no of cases	no of controls
Breast_Mammary_Tissue	X286.7	0.747349	7.91845e-5	SH2B1	Other and unspecified coagulation defects	8.97440e-2	1.15712e+0	751	15873
Ovary	X691	-1.31908	7.92313e-5	FKRP	Congenital anomalies of skin	6.78383e-2	7.69246e-1	248	19985
Muscle_Skeletal	X378.2	-17.2946	7.92817e-5	NPIPB7	Nystagmus and other irregular eye movements	7.00087e-3	5.71927e-1	20	20059
Esophagus_Mucosa	X41.2	-0.58308	7.92846e-5	BRF1	Streptococcus infection	1.89049e-1	8.42654e-1	609	18352
Pancreas	X571.6	1.6697	7.93685e-5	RNF208	Primary biliary cirrhosis	9.38461e-2	1.49271e+0	95	16784
Lung	X331.9	2.07253	7.95189e-5	PLXNB2	Cerebral degeneration, unspecified	1.67510e-2	1.30308e+0	149	17257
Artery_Aorta	X184	-1.10025	7.97217e-5	SRA1	Cancer of other female genital organs	4.66865e-2	7.63673e-1	219	9624
Skin_Sun_Exposed_Lower_leg	X470	-0.561338	7.98124e-5	FAM47E	Septal Deviations/Turbinate Hypertrophy	1.39650e-1	8.60313e-1	750	16459
Liver	X736	-2.22159	7.98316e-5	COL28A1	Other acquired deformities of limbs	5.29705e-2	6.88866e-1	114	20000
Esophagus_Gastroesophageal_Junction	X556.11	2.30071	8.00295e-5	DPY19L2	Angiodysplasia of intestine (without mention of hemorrhage)	3.23490e-1	2.38096e+0	29	16064
Brain_Frontal_Cortex_BA9	X362.23	0.835663	8.00505e-5	PIGN	Cystoid macular degeneration of retina	2.07137e-1	1.31724e+0	149	20111
Muscle_Skeletal	X306.9	113.416	8.02546e-5	UCP3	Tension headache	9.22617e-3	1.15285e+0	24	14456
Colon_Sigmoid	X368.2	0.99343	8.03263e-5	RIC8A	Diplopia and disorders of binocular vision	9.91691e-2	1.31581e+0	230	21265
Skin_Sun_Exposed_Lower_leg	X255.2	-0.693718	8.03275e-5	ZNF33B	Adrenal hypofunction	1.50034e-1	8.19924e-1	336	19664
Ovary	X275.1	-0.788827	8.04240e-5	S100A5	Disorders of iron metabolism	6.42784e-2	6.89412e-1	109	19909
Colon_Transverse	X289.8	105.32	8.05058e-5	CASP12	Polycythemia vera, secondary	2.91050e-2	1.10381e+0	94	16061
Brain_Nucleus_accumbens_basal_ganglia	X275	0.368046	8.07683e-5	CLCNKA	Disorders of mineral metabolism	2.03357e-1	1.10206e+0	1798	19909
Adipose_Subcutaneous	X327.1	7.49101	8.09206e-5	ZDBF2	Hypersomnia	1.84101e-2	1.75581e+0	75	17464
Skin_Not_Sun_Exposed_Suprapubic	X696.42	0.593514	8.09407e-5	LGALS7	Psoriatic arthropathy	6.77958e-1	1.48252e+0	98	19031
Brain_Caudate_basal_ganglia	X516.1	0.679017	8.09649e-5	PTPRCAP	Hemoptysis	1.94498e-1	1.23648e+0	376	22318
Artery_Tibial	X286.7	1.41978	8.10346e-5	NPIPB7	Other and unspecified coagulation defects	2.76306e-2	1.16653e+0	751	15873
Thyroid	X626.2	-0.980926	8.10525e-5	GOLGA8B	Dysmenorrhea	1.33652e-1	7.55252e-1	84	7985
Esophagus_Muscularis	X555	-0.835308	8.13811e-5	IFITM2	Inflammatory bowel disease and other gastroenteritis and colitis	3.14050e-1	8.10759e-1	405	16064
Artery_Tibial	X579.2	-0.559422	8.14614e-5	GRAMD1C	Splenomegaly	2.08459e-1	8.19611e-1	349	17765
Vagina	X717	1.74889	8.15234e-5	IFITM2	Polymyalgia Rheumatica	6.83547e-2	1.37303e+0	158	23042
Muscle_Skeletal	X649	-1.02041	8.15680e-5	TTC3	Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	1.79662e-1	7.48200e-1	168	11229
Brain_Anterior_cingulate_cortex_BA24	X694	4.06895	8.18857e-5	GPR89B	Dyschromia and Vitiligo	6.52179e-2	1.24721e+0	305	19985
Colon_Sigmoid	X425	0.305707	8.19257e-5	ZNF248	Cardiomyopathy	2.45643e-1	1.10168e+0	2019	19395
Adrenal_Gland	X947	-0.904088	8.21197e-5	DPY19L2	Urticaria	1.93542e-1	7.53132e-1	162	18931
Pancreas	X735.23	-3.23217	8.21745e-5	XXYLT1	Hallux rigidus	8.99368e-2	6.28742e-1	55	20000
Brain_Anterior_cingulate_cortex_BA24	X415.21	-0.339266	8.23767e-5	EVL	Primary pulmonary hypertension	1.35105e-1	7.92959e-1	288	16541
Breast_Mammary_Tissue	X300.3	-1.86788	8.24531e-5	NCKIPSD	Obsessive-compulsive disorders	1.06015e-1	6.82280e-1	63	14456
Testis	X300.12	1.43361	8.26567e-5	CLCNKA	Agorophobia, social phobia, and panic disorder	4.46561e-2	1.34175e+0	191	14456
Brain_Anterior_cingulate_cortex_BA24	X286.7	-0.724851	8.28188e-5	SULT1A2	Other and unspecified coagulation defects	1.21742e-1	8.57632e-1	751	15873
Esophagus_Mucosa	X221	2.52313	8.28690e-5	NT5M	Benign neoplasm of other female genital organs	8.00077e-2	1.55509e+0	26	9039
Breast_Mammary_Tissue	X444.1	-1.46309	8.29010e-5	GPR160	Arterial embolism and thrombosis of lower extremity artery	4.79017e-2	7.01119e-1	119	16965
Heart_Left_Ventricle	X172.1	-0.38611	8.29566e-5	PDIA2	Melanomas of skin, dx or hx	2.51989e-1	8.48520e-1	586	19049
Brain_Nucleus_accumbens_basal_ganglia	X145.3	-1.41642	8.30715e-5	EXOC3	Cancer of major salivary glands	1.08054e-1	6.53039e-1	59	22163
Esophagus_Gastroesophageal_Junction	X599.4	-0.278417	8.31129e-5	FBLL1	Urinary incontinence	3.03170e-1	8.71463e-1	996	16444
Skin_Not_Sun_Exposed_Suprapubic	X555	0.553027	8.31581e-5	FAR1	Inflammatory bowel disease and other gastroenteritis and colitis	3.40756e-2	1.21977e+0	405	16064
Esophagus_Muscularis	X973	-2.24299	8.32081e-5	RPS6KB2	Poisoning by agents primarily affecting the gastrointestinal system	2.52246e-1	3.78063e-1	21	17731
Testis	X368.2	12.0792	8.32688e-5	LRRC55	Diplopia and disorders of binocular vision	2.25480e-2	1.27607e+0	230	21265
Pancreas	X594.8	1.75249	8.33010e-5	MAPK12	Renal colic	1.91797e-1	1.72530e+0	41	21056
Testis	X411.41	-1.98415	8.33228e-5	CCL27	Aneurysm and dissection of heart	1.06818e-1	5.71357e-1	51	13196
Brain_Cerebellum	X427.11	-0.823267	8.33247e-5	ZNF267	Paroxysmal supraventricular tachycardia	6.97140e-2	8.64691e-1	614	10731
Colon_Sigmoid	X728.71	-3.97867	8.33832e-5	PNMA1	Contracture of palmar fascia [Dupuytren's disease]	4.40171e-2	6.36948e-1	71	17625
Stomach	X245.21	16.5173	8.34156e-5	GALNT9	Chronic lymphocytic thyroiditis	2.86238e-2	1.42174e+0	124	17866
Cells_Transformed_fibroblasts	X286	-0.598836	8.34339e-5	TUFM	Coagulation defects	1.04845e-1	9.02074e-1	1627	15873
Thyroid	X722.9	-2.02721	8.36014e-5	SYCP2	Other and unspecified disc disorder	2.29871e-2	6.35551e-1	68	17801
Testis	X703	-2.16986	8.36023e-5	SETD4	Diseases of nail, NOS	7.98711e-2	6.85012e-1	105	21732
Whole_Blood	X735.23	-61.4908	8.37273e-5	XXYLT1	Hallux rigidus	1.09123e-2	6.28941e-1	55	20000
Thyroid	X228	-1.17627	8.37376e-5	TATDN3	Hemangioma and lymphangioma, any site	9.06273e-2	7.76306e-1	150	22676
Nerve_Tibial	X803.3	-2.68129	8.37928e-5	SLC2A4	Fracture of clavicle or scapula	8.99421e-3	7.35455e-1	144	19279
Esophagus_Mucosa	X250.14	-0.713434	8.38327e-5	LEKR1	Type 1 diabetes with neurological manifestations	1.49151e-1	8.10532e-1	310	13897
Pancreas	X430.2	0.787103	8.38491e-5	ARRDC1	Intracerebral hemorrhage	1.07460e-1	1.26718e+0	241	17383
Colon_Transverse	X427.2	-0.541425	8.39202e-5	S100A5	Atrial fibrillation and flutter	3.03262e-2	9.24008e-1	4194	10731
Thyroid	X209	-1.60155	8.39918e-5	LEKR1	Neuroendocrine tumors	3.04301e-1	5.87792e-1	38	23220
Vagina	X516	0.403508	8.41997e-5	PTPRCAP	Abnormal sputum	1.91578e-1	1.20874e+0	452	22318
Lung	X618.2	-3.22977	8.44394e-5	YRDC	Uterine/Uterovaginal prolapse	2.41043e-2	7.78937e-1	120	10946
Esophagus_Muscularis	X250.7	-0.42344	8.44556e-5	FAM228A	Diabetic retinopathy	4.54633e-1	8.26619e-1	479	20111
Liver	X742.2	-39.6401	8.46162e-5	MTHFR	Pathological, developmental or recurrent dislocation	6.98520e-2	5.38225e-1	23	19267
Skin_Sun_Exposed_Lower_leg	X707.1	-0.66234	8.47323e-5	NPIPB7	Decubitus ulcer	1.29078e-1	8.68195e-1	795	21465
Colon_Sigmoid	X530.1	0.333001	8.50628e-5	GZMM	Esophagitis, GERD and related diseases	6.00846e-2	1.06900e+0	4785	13499
Artery_Aorta	X414	-0.309202	8.51310e-5	FAM122A	Other forms of chronic heart disease	1.84474e-1	8.98282e-1	1757	13196
Brain_Caudate_basal_ganglia	X320	-1.44223	8.53641e-5	GABRD	Meningitis	5.85251e-2	6.98411e-1	131	22760
Brain_Nucleus_accumbens_basal_ganglia	X252.1	0.566375	8.56413e-5	POLR1D	Hyperparathyroidism	6.05336e-2	1.26303e+0	290	19664
Cells_Transformed_fibroblasts	X790	1.90827	8.57908e-5	PLCG2	Nonspecific findings on examination of blood	1.24048e-1	1.49040e+0	109	19934
Adipose_Visceral_Omentum	X696	-0.937481	8.58663e-5	THAP5	Psoriasis and related disorders	1.32694e-1	7.85753e-1	288	19031
Cells_EBV-transformed_lymphocytes	X771.2	-0.977343	8.58782e-5	LEKR1	Cramp of limb	2.63889e-1	7.14215e-1	107	19194
Artery_Coronary	X575	0.629946	8.59158e-5	PTPRCAP	Other biliary tract disease	1.74030e-1	1.19028e+0	553	20771
Whole_Blood	X579.2	0.937197	8.59361e-5	MPHOSPH8	Splenomegaly	4.59501e-2	1.22705e+0	349	17765
Nerve_Tibial	X516	0.298492	8.62023e-5	PTPRCAP	Abnormal sputum	5.58781e-1	1.21225e+0	452	22318
Brain_Cortex	X170.1	0.734866	8.62094e-5	DENND6B	Bone cancer	9.87810e-2	1.29619e+0	226	22528
Skin_Sun_Exposed_Lower_leg	X696.4	-1.13885	8.64435e-5	FKBPL	Psoriasis	8.93668e-2	8.21459e-1	280	19031
Cells_Transformed_fibroblasts	X516	0.476589	8.64711e-5	PTPRCAP	Abnormal sputum	2.38037e-1	1.21168e+0	452	22318
Testis	X973	-1.92492	8.66445e-5	PTPRCAP	Poisoning by agents primarily affecting the gastrointestinal system	4.09684e-1	3.92980e-1	21	17731
Artery_Tibial	X255.13	4.22516	8.66760e-5	DENND6B	Medulloadrenal hyperfunction	4.21173e-2	2.07006e+0	21	19664
Cells_Transformed_fibroblasts	X516	0.52677	8.67207e-5	RPS6KB2	Abnormal sputum	2.32713e-1	1.21181e+0	452	22318
Breast_Mammary_Tissue	X368.91	-3.96496	8.68915e-5	XXYLT1	Psychophysical visual disturbances	3.66850e-2	5.94136e-1	24	21265
Nerve_Tibial	X189.21	-0.836326	8.69278e-5	PLCG2	Malignant neoplasm of bladder	5.22861e-2	8.19106e-1	390	22100
Spleen	X90	0.507837	8.70595e-5	KCNJ12	Sexually transmitted infections (not HIV or hepatitis)	2.50076e-1	1.43325e+0	125	23169
Artery_Tibial	X521	-1.88177	8.71441e-5	TARSL2	Diseases of hard tissues of teeth	1.25908e-2	8.39896e-1	506	21330
Brain_Cortex	X961.1	-17.5884	8.71546e-5	ADARB1	Poisoning/allergy of sulfonamides	6.84534e-2	7.36668e-1	74	17731
Lung	X287.31	6.66658	8.72560e-5	CASP12	Primary thrombocytopenia	1.65383e-2	1.23031e+0	112	15873
Thyroid	X960	0.509632	8.75628e-5	FAM166A	Poisoning by antibiotics	1.67409e-1	1.12312e+0	1085	17731
Adipose_Visceral_Omentum	X716.9	0.333826	8.76468e-5	ZFAND2A	Arthropathy NOS	2.27156e-1	1.13032e+0	1102	18237
Brain_Putamen_basal_ganglia	X362.23	0.923387	8.77630e-5	PIGN	Cystoid macular degeneration of retina	1.21786e-1	1.37803e+0	149	20111
Skin_Not_Sun_Exposed_Suprapubic	X479	-0.595826	8.78734e-5	SPIRE2	Other upper respiratory disease	9.47746e-2	8.59178e-1	825	16459
Thyroid	X502	1.60633	8.79944e-5	NLRP6	Postinflammatory pulmonary fibrosis	4.05455e-2	1.22648e+0	386	13235
Cells_Transformed_fibroblasts	X714.1	-0.665376	8.80583e-5	FKBPL	Rheumatoid arthritis	6.61727e-2	8.57738e-1	724	19052
Stomach	X619.1	-2.72054	8.80891e-5	PRKAR1B	Noninflammatory disorders of ovary, fallopian tube, and broad ligament	4.45135e-2	6.48816e-1	58	10520
Colon_Sigmoid	X728	1.62054	8.82989e-5	RGS7	Disorders of muscle, ligament, and fascia	3.57331e-2	1.57710e+0	76	17625
Esophagus_Gastroesophageal_Junction	X292.6	5.19615	8.83026e-5	LRFN4	Hallucinations	3.14440e-2	1.88753e+0	57	17533
Brain_Frontal_Cortex_BA9	X457.2	1.12183	8.84518e-5	P2RX2	Encounter for long-term (current) use of antiplatelets/antithrombotics	1.79120e-1	1.39225e+0	151	15674
Artery_Aorta	X516	0.622392	8.89356e-5	PTPRCAP	Abnormal sputum	1.69449e-1	1.21193e+0	452	22318
Skin_Not_Sun_Exposed_Suprapubic	X803	0.324169	8.90753e-5	FKRP	Fracture of upper limb	2.69579e-1	1.14064e+0	879	19279
Thyroid	X274.1	-0.914596	8.91039e-5	FAM71F2	Gout	6.49715e-2	8.91470e-1	1145	21410
Thyroid	X454	1.16698	8.91126e-5	TMEM136	Varicose veins	3.75080e-2	1.23328e+0	328	15674
Heart_Left_Ventricle	X509.1	0.825058	8.95039e-5	TATDN3	Respiratory failure	1.08105e-1	1.10912e+0	2279	13235
Pancreas	X286.7	0.625536	8.96245e-5	SULT1A1	Other and unspecified coagulation defects	1.16382e-1	1.15933e+0	751	15873
Brain_Hypothalamus	X198.7	-0.870116	9.00426e-5	SPIRE2	Secondary malignant neoplasm of skin	2.82643e-1	7.44803e-1	178	17297
Skin_Sun_Exposed_Lower_leg	X323.8	-2.02645	9.00725e-5	PTPRCAP	Encephalitis, non-infectious	2.93728e-1	5.22002e-1	39	22760
Lung	X164	-2.43779	9.01973e-5	PLEKHN1	Cancer of intrathoracic organs	4.14624e-2	6.31382e-1	37	22045
Esophagus_Muscularis	X425.2	-0.86713	9.02312e-5	CLCNKA	Secondary/extrinsic cardiomyopathies	8.67826e-2	8.59621e-1	729	19395
Colon_Transverse	X389.4	-0.947535	9.02488e-5	C16orf72	Tinnitus	4.20242e-2	7.91016e-1	296	20203
Brain_Cerebellum	X285.22	-16.1611	9.02994e-5	PAK2	Anemia in neoplastic disease	3.82527e-2	8.64876e-1	772	13144
Esophagus_Muscularis	X367.2	0.60328	9.03582e-5	RIC8A	Astigmatism	4.91741e-1	1.34196e+0	152	21421
Thyroid	X753	-6.09428	9.04959e-5	DPP4	Congenital anomalies of the eye	1.19375e-2	6.06233e-1	26	22702
Adipose_Subcutaneous	X851	1.8021	9.05311e-5	JUP	Complications of transplants and reattached limbs	6.04836e-2	1.19867e+0	468	18370
Artery_Aorta	X286.7	1.31905	9.05392e-5	SULT1A1	Other and unspecified coagulation defects	1.58463e-2	1.16110e+0	751	15873
Artery_Tibial	X297	2.63549	9.05499e-5	FGFR1OP	Suicidal ideation or attempt	1.13669e-2	1.27193e+0	191	14456
Breast_Mammary_Tissue	X184.11	-1.99542	9.05937e-5	MCRS1	Malignant neoplasm of ovary	1.90545e-2	7.49389e-1	136	9624
Brain_Putamen_basal_ganglia	X290.2	0.65702	9.05950e-5	FAM166A	Delirium due to conditions classified elsewhere	6.01157e-2	1.23888e+0	339	17533
Prostate	X53.1	1.19669	9.08975e-5	ZNF573	Herpes zoster with nervous system complications	1.34335e-1	1.57686e+0	69	19087
Pituitary	X458	0.313785	9.09992e-5	NUTM2B	Hypotension	1.82755e-1	1.08648e+0	2788	17257
Muscle_Skeletal	X701.1	-8.61221	9.10632e-5	ZDHHC11	Keratoderma, acquired	1.15349e-1	6.47576e-1	62	20618
Skin_Sun_Exposed_Lower_leg	X907	2.66628	9.11450e-5	PKP3	Injuries to the nervous system	4.17124e-2	1.31473e+0	141	22909
Cells_EBV-transformed_lymphocytes	X770	-0.344942	9.13663e-5	MYO5A	Myalgia and myositis unspecified	2.08505e-1	8.93453e-1	1168	20813
Small_Intestine_Terminal_Ileum	X721.2	1.07907	9.15784e-5	ZSCAN23	Spondylosis with myelopathy	1.11976e-1	1.33779e+0	173	17801
Testis	X454.11	-2.40206	9.15908e-5	RIMKLA	Varicose veins of lower extremity, symptomtic	2.88728e-2	7.65788e-1	160	15674
Adrenal_Gland	X287.31	-1.02421	9.16578e-5	NUTM2B	Primary thrombocytopenia	1.46663e-1	7.07583e-1	112	15873
Stomach	X516	0.407442	9.17271e-5	PTPRCAP	Abnormal sputum	2.82824e-1	1.21142e+0	452	22318
Adrenal_Gland	X558	-0.675798	9.17848e-5	DUSP27	Noninfectious gastroenteritis	5.78431e-2	8.37681e-1	593	16064
Skin_Not_Sun_Exposed_Suprapubic	X516.1	0.569269	9.19450e-5	PTPRCAP	Hemoptysis	2.54341e-1	1.23384e+0	376	22318
Colon_Sigmoid	X276	-0.24364	9.19855e-5	TATDN3	Disorders of fluid, electrolyte, and acid-base balance	9.62326e-2	9.42990e-1	7382	13027
Colon_Transverse	X380	-2.08486	9.20984e-5	C2CD4C	Disorders of external ear	7.30440e-2	5.19566e-1	34	21594
Thyroid	X681.2	2.07466	9.21189e-5	BBIP1	Cellulitis and abscess of face/neck	2.55862e-2	1.35868e+0	186	18720
Cells_Transformed_fibroblasts	X285.2	-0.372801	9.22700e-5	CCDC125	Anemia of chronic disease	2.26282e-1	9.03819e-1	1657	13144
Skin_Not_Sun_Exposed_Suprapubic	X695	-0.489793	9.24695e-5	DNM3	Erythematous conditions	8.42363e-2	8.65172e-1	797	19985
Artery_Coronary	X729.3	-3.17565	9.26297e-5	DSCAML1	Panniculitis	6.08486e-2	4.12585e-1	22	17625
Esophagus_Muscularis	X530.11	1.11946	9.26758e-5	NUTM2B	GERD	4.32325e-2	1.07144e+0	4408	13499
Skin_Not_Sun_Exposed_Suprapubic	X290.16	1.80337	9.26912e-5	KCNJ12	Vascular dementia	9.82190e-2	1.48831e+0	86	17533
Esophagus_Gastroesophageal_Junction	X681.5	-1.16685	9.27712e-5	TARSL2	Cellulitis and abscess of leg, except foot	7.20475e-2	8.62718e-1	749	18720
Artery_Coronary	X275.6	-1.13512	9.28664e-5	THAP5	Hypercalcemia	4.00699e-2	7.98291e-1	324	19909
Colon_Transverse	X771.2	-1.24148	9.28783e-5	LEKR1	Cramp of limb	1.02568e-1	7.17966e-1	107	19194
Skin_Sun_Exposed_Lower_leg	X464	-0.255185	9.28827e-5	SPIRE2	Acute sinusitis	3.00508e-1	8.89283e-1	1357	17862
Brain_Caudate_basal_ganglia	X250.1	-2.36668	9.30185e-5	FKBPL	Type 1 diabetes	4.88858e-2	8.94370e-1	1355	13897
Prostate	X636.3	-38.5204	9.32089e-5	ALG12	Hemorrhage in early pregnancy	8.70625e-2	6.02714e-1	53	11199
Colon_Sigmoid	X474.2	1.73912	9.33792e-5	OXCT2	Chronic tonsillitis and adenoiditis	3.34956e-2	1.41138e+0	156	16459
Adrenal_Gland	X187	7.01609	9.34720e-5	TDRKH	Cancer of other male genital organs	8.55651e-2	1.60381e+0	58	10494
Adipose_Visceral_Omentum	X716	0.324117	9.35036e-5	ZFAND2A	Other arthropathies	2.27156e-1	1.12630e+0	1164	18237
Artery_Tibial	X300.3	-3.10146	9.41252e-5	CASP12	Obsessive-compulsive disorders	1.32000e-1	7.04660e-1	63	14456
Colon_Transverse	X743.11	-0.726984	9.43489e-5	ZNF627	Osteoporosis NOS	1.97833e-2	8.97422e-1	1541	17753
Cells_Transformed_fibroblasts	X601.11	-1.7294	9.44418e-5	METTL6	Acute prostatitis	1.27556e-1	6.43888e-1	50	8351
Heart_Atrial_Appendage	X480.1	-1.4523	9.45687e-5	NELFB	Bacterial pneumonia	1.35215e-1	8.67812e-1	698	16775
Nerve_Tibial	X291	0.795233	9.46551e-5	CLEC4G	Other specified nonpsychotic and/or transient mental disorders	4.00206e-2	1.11254e+0	1372	17533
Artery_Tibial	X702.2	-0.579819	9.47037e-5	FBXL7	Seborrheic keratosis	8.94057e-2	9.01285e-1	1516	19884
Liver	X149.2	-3.41541	9.49284e-5	FAM219B	Cancer of nasopharynx	6.18631e-2	4.60059e-1	27	22163
Muscle_Skeletal	X281.12	1.12952	9.49779e-5	ODF3L2	Other vitamin B12 deficiency anemia	9.33992e-2	1.29745e+0	213	13144
Pancreas	X772.4	3.37402	9.51680e-5	FAM131C	Rhabdomyolysis	2.00333e-1	1.45118e+0	84	20241
Uterus	X395.4	-26.1396	9.51870e-5	ARL6IP4	Nonrheumatic pulmonary valve disorders	1.04287e-1	7.57349e-1	64	16709
Testis	X751.22	-3.34185	9.52247e-5	THAP5	Other specified congenital anomalies of kidney	4.03679e-2	7.68966e-1	63	21786
Pituitary	X447.7	-0.930664	9.53476e-5	ZGPAT	Aortic ectasia	1.34606e-1	6.64888e-1	93	16965
Colon_Transverse	X255.13	-3.08413	9.55896e-5	FGFR1OP	Medulloadrenal hyperfunction	3.08786e-2	4.82674e-1	21	19664
Whole_Blood	X433.12	-0.762151	9.58473e-5	C8orf31	Cerebral atherosclerosis	1.89887e-1	7.74992e-1	222	17383
Testis	X447	0.558434	9.59938e-5	SLC29A2	Other disorders of arteries and arterioles	1.20645e-1	1.21954e+0	325	16965
Muscle_Skeletal	X707.1	0.351606	9.61038e-5	SULT1A2	Decubitus ulcer	2.17945e-1	1.14897e+0	795	21465
Heart_Left_Ventricle	X516.1	0.74328	9.61146e-5	RPS6KB2	Hemoptysis	2.12895e-1	1.23273e+0	376	22318
Esophagus_Gastroesophageal_Junction	X713	1.04836	9.62477e-5	DPY19L2	Arthropathy associated with other disorders classified elsewhere	3.23490e-1	1.48482e+0	118	18237
Skin_Sun_Exposed_Lower_leg	X290.2	-0.903762	9.66414e-5	BPIFC	Delirium due to conditions classified elsewhere	3.42735e-2	8.06343e-1	339	17533
Lung	X750.11	-4.90686	9.67550e-5	SH2B1	Esophageal atresia/tracheoesophageal fistula	2.77511e-2	5.64023e-1	46	21786
Cells_EBV-transformed_lymphocytes	X564	0.713295	9.67609e-5	C9orf152	Functional digestive disorders	7.75228e-2	1.15829e+0	768	16064
Artery_Tibial	X875	-2.1514	9.67773e-5	TMEM185B	Non-healing surgical wound	5.22142e-2	7.08298e-1	140	19977
Esophagus_Mucosa	X377.1	-2.24671	9.68274e-5	ZNF664	Optic atrophy	5.73084e-2	5.78175e-1	56	20059
Cells_Transformed_fibroblasts	X381.3	1.12604	9.70369e-5	YBEY	Mastoiditis & related conditions	5.16310e-1	1.85178e+0	33	20771
Skin_Not_Sun_Exposed_Suprapubic	X368.2	-4.90138	9.73272e-5	PDE4DIP	Diplopia and disorders of binocular vision	2.79299e-2	9.18441e-1	230	21265
Skin_Sun_Exposed_Lower_leg	X696.42	0.531723	9.73733e-5	LGALS7	Psoriatic arthropathy	6.83971e-1	1.47547e+0	98	19031
Cells_EBV-transformed_lymphocytes	X480.12	1.7374	9.74852e-5	TSPAN4	Pseudomonal pneumonia	6.38706e-2	1.37604e+0	157	16775
Brain_Hippocampus	X803	0.599878	9.75005e-5	FKRP	Fracture of upper limb	1.02884e-1	1.13608e+0	879	19279
Adrenal_Gland	X277.5	2.70017	9.77102e-5	P2RX2	Other disorders of lipoid metabolism	1.50776e-1	1.87696e+0	45	22192
Skin_Not_Sun_Exposed_Suprapubic	X731	207.28	9.77923e-5	PDE4DIP	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	2.79299e-2	3.65226e+1	39	19040
Skin_Not_Sun_Exposed_Suprapubic	X994.1	0.54453	9.78473e-5	XXYLT1	Systemic inflammatory response syndrome (SIRS)	2.41133e-1	1.24754e+0	394	20907
Artery_Tibial	X381.3	4.22484	9.78970e-5	SDHAF1	Mastoiditis & related conditions	1.68620e-2	1.76825e+0	33	20771
Artery_Aorta	X395.4	3.47627	9.79005e-5	MUC6	Nonrheumatic pulmonary valve disorders	1.75912e-2	1.48155e+0	64	16709
Colon_Transverse	X370	81.3023	9.79196e-5	CASP12	Keratitis	2.91050e-2	1.07922e+0	368	20046
Esophagus_Muscularis	X593	-2.23284	9.81687e-5	LYSMD3	Hematuria	4.25194e-2	9.00100e-1	1349	16050
Colon_Sigmoid	X614.32	2.54117	9.82748e-5	TCP11L1	Chronic inflammatory pelvic disease	1.16764e-1	1.87852e+0	38	10365
Pituitary	X585	0.144218	9.85040e-5	ARHGAP11A	Renal failure	1.54901e-1	1.06716e+0	4994	15383
Muscle_Skeletal	X79	1.26767	9.86352e-5	C1orf174	Viral infection	4.35606e-2	1.18921e+0	536	19087
Nerve_Tibial	X480.1	0.458624	9.87353e-5	FAM166A	Bacterial pneumonia	2.04890e-1	1.15239e+0	698	16775
Cells_EBV-transformed_lymphocytes	X350.1	-1.1678	9.90226e-5	ZNF124	Abnormal involuntary movements	7.33864e-2	8.30070e-1	415	20508
Lung	X712	-2.15044	9.90530e-5	GRAMD1C	Infective connective tissue disorders	1.04246e-1	6.44867e-1	61	18237
Thyroid	X327.41	-3.77184	9.90983e-5	HMGB1	Organic or persistent insomnia	7.39052e-2	7.77463e-1	88	17464
Esophagus_Mucosa	X717	-2.90911	9.91015e-5	ZSWIM7	Polymyalgia Rheumatica	1.09264e-2	7.36734e-1	158	23042
Testis	X255.12	-3.58967	9.91566e-5	SDHAF1	Hyperaldosteronism	5.14872e-2	3.38491e-1	24	19664
Brain_Anterior_cingulate_cortex_BA24	X530	-0.262005	9.91967e-5	DDRGK1	Diseases of esophagus	1.08139e-1	9.38613e-1	5446	13499
Esophagus_Gastroesophageal_Junction	X516.1	0.477016	9.93808e-5	PTPRCAP	Hemoptysis	3.59174e-1	1.23733e+0	376	22318
Adipose_Subcutaneous	X428.2	-0.531568	9.95698e-5	NUP62	Heart failure NOS	8.32833e-2	8.93507e-1	1339	15149
Skin_Not_Sun_Exposed_Suprapubic	X286.7	-1.14897	9.98571e-5	SULT1A2	Other and unspecified coagulation defects	2.02858e-2	8.61636e-1	751	15873
Adipose_Subcutaneous	X514.1	322.764	1.08144e-8	KCTD7	Abnormal results of function study of pulmonary system	1.08315e-2	1.23407e+0	47	20012
Nerve_Tibial	X277.5	1.78578	1.08103e-6	ZSCAN31	Other disorders of lipoid metabolism	1.69954e-1	1.48571e+0	45	22192
Skin_Sun_Exposed_Lower_leg	X580	-0.916892	1.72521e-6	ZNF10	Nephritis; nephrosis; renal sclerosis	9.47203e-2	8.23410e-1	684	15383
Liver	X635	-1.56261	2.62478e-6	C1orf226	Hemorrhage during pregnancy; childbirth and postpartum	4.28326e-2	4.88705e-1	36	11199
Pancreas	X350.6	6.68071	2.69417e-6	C8orf58	Disturbances of sensation of smell and taste	4.99252e-2	2.20143e+0	33	20508
Muscle_Skeletal	X514.1	4.24041	3.05977e-6	HPR	Abnormal results of function study of pulmonary system	1.00952e-1	1.12663e+0	47	20012
Heart_Atrial_Appendage	X350.6	3.64509	3.22296e-6	C8orf58	Disturbances of sensation of smell and taste	8.81371e-2	2.20316e+0	33	20508
Skin_Sun_Exposed_Lower_leg	X531.1	-29.0721	4.21944e-6	GET4	Hemorrhage from gastrointestinal ulcer	1.27300e-2	7.81065e-1	101	21823
