tissue	phecode	beta	p-value	gene	trait	r2	no of cases	no of controls
Brain-Anteriorcingulatecortex-BA24	X727.7	-0.43056	2.21321e-10	ZNF391	Contracture of tendon (sheath)	2.15140e-1	30	6730
Brain-Cortex	X499	-2.90369	2.40981e-10	WNT2	Cystic fibrosis	6.25136e-2	71	9033
Brain-Hypothalamus	X758.1	0.0912905	9.47183e-10	TSGA10	Chromosomal anomalies	1.53768e-1	21	8947
Heart-AtrialAppendage	X536.7	24.361	1.79477e-9	TOX4	Complications of gastrostomy, colostomy and enterostomy	1.62477e-3	114	7579
Brain-Putamen-basalganglia	X480.1	0.500485	3.61068e-9	WNT2	Bacterial pneumonia	1.43957e-1	385	6217
Colon-Sigmoid	X499	3.69208	6.83613e-9	WNT2	Cystic fibrosis	1.01118e-2	71	9033
Adipose-Subcutaneous	X727.2	-92.1883	8.35905e-9	VCPIP1	Bursitis disorders	1.64655e-2	44	6730
Brain-Hypothalamus	X758	0.0809753	1.99755e-8	TSGA10	Chromosomal anomalies and genetic disorders	1.53768e-1	31	8947
Brain-Putamen-basalganglia	X480.5	1.07048	2.07558e-8	WNT2	Bronchopneumonia and lung abscess	1.43957e-1	71	6217
Lung	X446.5	-5.4652	4.55395e-8	TIMM17A	Giant cell arteritis	9.05082e-3	23	6676
Ovary	X159.2	-17.8912	7.50625e-8	ZNF16	Malignant neoplasm of small intestine, including duodenum	8.85048e-3	26	8073
Brain-Nucleusaccumbens-basalganglia	X601.3	1.49198	8.36875e-8	THEGL	Orchitis and epididymitis	7.01574e-3	33	7335
Brain-Putamen-basalganglia	X514.1	5.05237	8.85532e-8	THAP10	Abnormal results of function study of pulmonary system	1.28165e-3	24	7886
Esophagus-GastroesophagealJunction	X362.9	-0.972244	1.04101e-7	TMCC2	Retinal edema	1.09005e-2	48	7724
Brain-Caudate-basalganglia	X313	1.75882	1.06386e-7	ZFAND3	Pervasive developmental disorders	1.17878e-1	75	8646
Artery-Coronary	X201	-0.951241	1.24192e-7	VNN3	Hodgkin's disease	8.69548e-2	150	8016
Brain-Putamen-basalganglia	X603.1	-11.0486	1.26756e-7	USP4	Hydrocele	2.29886e-2	43	8178
Colon-Sigmoid	X252.2	-15.4872	1.47630e-7	ZNF142	Hypoparathyroidism	3.29507e-3	24	7558
Brain-Putamen-basalganglia	X727.7	-0.0172821	2.06208e-7	ZNF391	Contracture of tendon (sheath)	2.34482e-1	30	6730
Brain-FrontalCortex-BA9	X695.41	0.584878	2.51251e-7	WDR46	Cutaneous lupus erythematosus	3.05865e-2	34	7590
Thyroid	X418.1	18.9328	2.54228e-7	VCPIP1	Precordial pain	4.28911e-3	92	4613
Breast-MammaryTissue	X149.9	-23.1406	2.79207e-7	TMEM134	Cancer of of nasal cavities	2.43392e-2	28	8031
Brain-Cerebellum	X695.7	-0.52551	2.85109e-7	UBE2D1	Prurigo and Lichen	1.04124e-1	23	7590
Liver	X703.1	3.97781	2.95917e-7	ZDHHC13	Ingrowing nail	2.99933e-2	70	8443
Brain-Anteriorcingulatecortex-BA24	X385.3	0.294036	3.09641e-7	TMPRSS5	Cholesteatoma	1.79433e-1	32	8088
Ovary	X332	-3.11266	3.25591e-7	TMEM2	Parkinson's disease	2.52897e-2	80	6544
Esophagus-Mucosa	X705.8	-5.56692	3.60813e-7	UBE2V2	Hyperhidrosis	5.49912e-3	50	8052
Cells-EBV-transformedlymphocytes	X573	-12.3807	3.84166e-7	UBAP1L	Other disorders of liver	8.25357e-2	252	6421
Liver	X150	-25.2392	3.91147e-7	TGM7	Cancer of esophagus	8.16528e-2	65	8073
Nerve-Tibial	X370.1	-8.73506	3.95076e-7	WDR87	Corneal ulcer	1.37522e-2	23	7798
Brain-Hypothalamus	X349	-0.00748638	4.04329e-7	VPS11	Other and unspecified disorders of the nervous system	2.53317e-1	66	6544
Brain-Cortex	X750	-3.44661	4.15582e-7	TMEM79	Digestive congenital anomalies	8.19027e-3	45	8409
Heart-AtrialAppendage	X281.9	0.0616975	4.31152e-7	TNKS	Deficiency anemias	3.97764e-2	72	4684
Heart-AtrialAppendage	X656	28.1797	4.90335e-7	TOX4	Other perinatal conditions of fetus or newborn	1.62477e-3	54	9027
Heart-LeftVentricle	X246	-1.95355	5.01129e-7	ZC3H12D	Other disorders of thyroid	4.49776e-2	93	7001
Brain-Hippocampus	X8.52	3.54183	5.09445e-7	TFB2M	Intestinal infection due to C. difficile	4.34674e-3	383	8317
Liver	X352	1.41823	5.16675e-7	TFRC	Disorders of other cranial nerves	1.19582e-1	148	7504
Artery-Aorta	X465.4	6.64598	5.47918e-7	TIMM9	Acute laryngitis and tracheitis	1.63150e-2	22	6770
Brain-Putamen-basalganglia	X601.1	250.364	5.55135e-7	TMEM139	Prostatitis	5.60913e-3	65	7335
Brain-CerebellarHemisphere	X521	2.2731	5.65200e-7	USP33	Diseases of hard tissues of teeth	2.65469e-3	230	8243
Spleen	X614.3	0.822921	5.66302e-7	ZC3H6	Pelvic inflammatory disease (PID)	3.74288e-2	34	8581
Esophagus-Muscularis	X253.2	0.0197366	5.77849e-7	VTCN1	Pituitary hypofunction	1.68667e-3	45	7558
Esophagus-Muscularis	X316	-15.4574	5.83255e-7	ZNF576	Substance addiction and disorders	9.85523e-3	387	7008
Cells-Transformedfibroblasts	X967	-4.61908	5.85702e-7	ZNF433	Adverse effects of sedatives or other central nervous system depressants and anesthetics	1.38556e-2	40	6561
Cells-EBV-transformedlymphocytes	X525	2.25818	5.94432e-7	TDP1	Other diseases of the teeth and supporting structures	3.45405e-2	78	8243
Esophagus-Mucosa	X706.1	28.0794	6.36256e-7	TMEM130	Acne	4.88215e-3	90	8052
Esophagus-Mucosa	X457.2	39.6735	6.40612e-7	TMEM201	Encounter for long-term (current) use of antiplatelets/antithrombotics	4.94446e-3	40	6144
Brain-Anteriorcingulatecortex-BA24	X385	0.285695	6.94094e-7	TMPRSS5	Other disorders of middle ear and mastoid	1.79433e-1	38	8088
Brain-Cortex	X447.1	14.6512	7.08475e-7	TRIM41	Stricture of artery	4.04199e-3	38	6676
AdrenalGland	X574.11	-11.0277	7.10269e-7	TP53INP2	Cholelithiasis with acute cholecystitis	3.70270e-2	25	8056
Esophagus-GastroesophagealJunction	X608	-50.069	7.33414e-7	WDR87	Other disorders of male genital organs	6.05796e-3	94	8178
Brain-Putamen-basalganglia	X859	-1.18725	7.34295e-7	ZFP14	Complication due to other implant and internal device	8.63096e-2	197	6685
Brain-CerebellarHemisphere	X521.1	2.2705	7.85465e-7	USP33	Dental caries	2.65469e-3	224	8243
Liver	X293.1	-4.68826	8.28495e-7	ZNF551	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	7.77597e-3	267	8380
SmallIntestine-TerminalIleum	X287.1	-7.22422	8.34666e-7	YARS	Spontaneous ecchymoses	6.86427e-3	21	5981
Thyroid	X594.2	6.40603	8.43134e-7	YDJC	Calculus of lower urinary tract	2.74077e-2	31	8065
Esophagus-GastroesophagealJunction	X252.2	-1.80373	8.43405e-7	XPO7	Hypoparathyroidism	6.93750e-2	24	7558
Brain-Hippocampus	X352	0.00592487	8.85770e-7	UBR2	Disorders of other cranial nerves	3.59622e-2	148	7504
SmallIntestine-TerminalIleum	X520	-3.78548	8.91667e-7	TEX12	Disorders of tooth development	1.70745e-3	46	8243
Heart-AtrialAppendage	X379.3	7.88721	9.16105e-7	TMCC2	Aphakia and other disorders of lens	4.37009e-3	20	7801
Liver	X728	3.61367	9.20803e-7	WDR4	Disorders of muscle, ligament, and fascia	3.88045e-2	27	6730
Heart-AtrialAppendage	X627.3	3.26673	9.57517e-7	ZDHHC13	Postmenopausal atrophic vaginitis	1.74526e-2	130	7657
Colon-Transverse	X451	-2.19473	1.05716e-6	TM4SF18	Phlebitis and thrombophlebitis	4.68330e-2	170	6144
Heart-AtrialAppendage	X656.2	29.8935	1.05782e-6	TOX4	Respiratory conditions of fetus and newborn	1.62477e-3	43	9027
Esophagus-Muscularis	X38.1	9.59354	1.06418e-6	TNIP3	Gram negative septicemia	4.93850e-3	181	6607
Spleen	X614.32	0.831927	1.07305e-6	ZC3H6	Chronic inflammatory pelvic disease	3.74288e-2	23	8581
Heart-LeftVentricle	X217.1	-28.5983	1.07530e-6	TMEM184A	Nevus, non-neoplastic	7.51043e-3	28	7709
Ovary	X529	-45.9777	1.12361e-6	UBR5	Diseases and other conditions of the tongue	8.41191e-2	22	8257
Brain-Cortex	X577	-1.08138	1.15268e-6	WNT2	Diseases of pancreas	6.25136e-2	337	8624
Adipose-Subcutaneous	X520	-3.29379	1.16353e-6	TEX12	Disorders of tooth development	1.52338e-2	46	8243
Adipose-Subcutaneous	X345.12	10.9232	1.16485e-6	TYW5	Partial epilepsy	2.45085e-3	122	6544
Pancreas	X771.2	-0.145131	1.17672e-6	VPS28	Cramp of limb	3.26059e-1	50	7238
Brain-Putamen-basalganglia	X270.38	36.2632	1.24656e-6	XPO7	Other specified disorders of plasma protein metabolism	3.37248e-3	42	8239
SmallIntestine-TerminalIleum	X596	1.52205	1.24979e-6	TXNDC5	Other disorders of bladder	1.84331e-2	360	8074
Brain-Hippocampus	X8.5	3.4145	1.26341e-6	TFB2M	Bacterial enteritis	4.34674e-3	390	8317
AdrenalGland	X149.5	-9.50922	1.28631e-6	TP53INP2	Hx of malignant neoplasm of oral cavity and pharynx	3.70270e-2	100	8031
Thyroid	X220	-83.7384	1.33385e-6	ZNF468	Benign neoplasm of ovary	2.32406e-2	32	8547
Colon-Sigmoid	X530.5	8.15029	1.34447e-6	TRAPPC6A	Disorders of esophageal motility	2.40247e-3	38	5130
Brain-Hypothalamus	X512.1	-1.32728	1.38409e-6	TMEM151A	Wheezing	7.29084e-2	196	3702
Brain-Putamen-basalganglia	X159.4	-0.310084	1.40794e-6	TNFSF13B	Malignant neoplasm of retroperitoneum and peritoneum	1.78279e-2	32	8073
Skin-SunExposed-Lowerleg	X529	5.45146	1.42878e-6	TBX1	Diseases and other conditions of the tongue	3.92074e-2	22	8257
Pancreas	X90	-75.7304	1.44589e-6	WDFY4	Sexually transmitted infections (not HIV or hepatitis)	4.06307e-2	23	9069
Brain-Nucleusaccumbens-basalganglia	X535.9	1.5519	1.45720e-6	ZDHHC13	Gastritis and duodenitis, NOS	3.70849e-2	82	7579
Stomach	X855	25.2208	1.46571e-6	TRIM15	Complication of nervous system device, implant, and graft	1.44119e-2	81	6685
Brain-Putamen-basalganglia	X603	-9.30461	1.46617e-6	USP4	Other disorders of testis	2.29886e-2	56	8178
Brain-Anteriorcingulatecortex-BA24	X315.3	-0.126525	1.47338e-6	TMEM11	Mental retardation	1.45551e-2	50	8646
Brain-Caudate-basalganglia	X855	20.1972	1.52152e-6	TRIM31	Complication of nervous system device, implant, and graft	2.48894e-2	81	6685
Brain-Cortex	X855	4.88925	1.52221e-6	ZFP57	Complication of nervous system device, implant, and graft	7.24158e-3	81	6685
Breast-MammaryTissue	X696.42	3.54455	1.57296e-6	ZNF681	Psoriatic arthropathy	9.79863e-3	43	7172
Brain-Hypothalamus	X759	0.0668481	1.60081e-6	TSGA10	Other and unspecified congenital anomalies	1.53768e-1	65	8947
Esophagus-Mucosa	X728.1	6.87817	1.67090e-6	TYSND1	Muscular calcification and ossification	7.12131e-3	20	6730
Colon-Transverse	X728.1	4.33241	1.67932e-6	TMCC2	Muscular calcification and ossification	3.25186e-2	20	6730
Brain-Anteriorcingulatecortex-BA24	X427.7	0.756243	1.71835e-6	ZNF507	Tachycardia NOS	1.84855e-3	1204	4456
Breast-MammaryTissue	X149.9	-2.72091	1.72153e-6	VPS39	Cancer of of nasal cavities	6.29687e-3	28	8031
Colon-Sigmoid	X722.7	38.8302	1.80244e-6	THOC7	Intervertebral disc disorder with myelopathy	6.85263e-2	31	6852
Brain-Cerebellum	X300.4	-2.41052	1.81884e-6	TYRO3	Dysthymic disorder	1.06690e-2	315	5392
Brain-FrontalCortex-BA9	X562.2	-24.4799	1.90152e-6	TOX2	Diverticulitis	7.22950e-2	137	5956
Cells-Transformedfibroblasts	X367	2.40008	2.00509e-6	TSNARE1	Disorders of refraction and accommodation; blindness and low vision	5.93277e-3	461	8335
Ovary	X772.1	39.7386	2.00580e-6	ZCCHC4	Muscular wasting and disuse atrophy	7.18173e-2	33	7828
Brain-Hippocampus	X379.3	-0.970433	2.01257e-6	ZNF367	Aphakia and other disorders of lens	4.61135e-2	20	7801
Artery-Aorta	X220	-3.63253	2.03540e-6	ZNF468	Benign neoplasm of ovary	5.52534e-2	32	8547
Brain-FrontalCortex-BA9	X189.12	-24.5071	2.08369e-6	TCF7L1	Malignant neoplasm of renal pelvis	1.21681e-2	51	8503
Stomach	X433.5	0.157481	2.14083e-6	TYW5	Cerebral aneurysm	6.69458e-2	94	6934
Esophagus-GastroesophagealJunction	X374.6	-1.29729	2.18581e-6	WEE2	Dermatochalasis	1.87530e-1	94	7798
Cells-Transformedfibroblasts	X315.3	4.21354	2.23057e-6	ZNF486	Mental retardation	3.10086e-2	50	8646
AdrenalGland	X575.7	-9.39724	2.24996e-6	TP53INP2	Other disorders of gallbladder	3.70270e-2	37	8056
Brain-FrontalCortex-BA9	X618	-0.363392	2.26900e-6	UBC	Genital prolapse	9.19320e-2	186	8882
Brain-Hippocampus	X362.22	0.0200671	2.27842e-6	ZNF681	Macular degeneration, wet	7.28909e-3	40	7724
Colon-Transverse	X564.1	3.81377	2.30266e-6	ZNF582	Irritable Bowel Syndrome	2.67679e-3	214	5956
SmallIntestine-TerminalIleum	X246	1.01669	2.33551e-6	TXNDC8	Other disorders of thyroid	4.43423e-2	93	7001
Heart-AtrialAppendage	X514.2	4.56293	2.41228e-6	UBE2QL1	Solitary pulmonary nodule	3.20801e-2	43	7886
Stomach	X560.2	25.035	2.45627e-6	TEX10	Impaction of intestine	2.28994e-2	28	5956
Muscle-Skeletal	X352.1	5.09307	2.48718e-6	UCMA	Trigeminal nerve disorders [CN5]	5.05461e-3	71	7504
Colon-Transverse	X859	-2.31209	2.48866e-6	ZFP14	Complication due to other implant and internal device	1.20032e-2	197	6685
Ovary	X480.2	3.78193	2.50000e-6	ZNF691	Viral pneumonia	2.21276e-2	28	6217
Adipose-Subcutaneous	X687.1	1.10222	2.52159e-6	TMEM181	Rash and other nonspecific skin eruption	3.30770e-2	718	6861
Testis	X285.2	-1.07291	2.54003e-6	THAP6	Anemia of chronic disease	6.91195e-3	877	4684
Brain-Cortex	X750.2	-3.54407	2.54707e-6	TMEM79	Lower gastrointestinal congenital anomalies	8.19027e-3	35	8409
Brain-Cortex	X613.1	-4.17458	2.60916e-6	WDR45B	Inflammatory disease of breast	5.92505e-3	33	8018
Brain-FrontalCortex-BA9	X751.21	-18.3541	2.61137e-6	TCF7L1	Cystic kidney disease	1.21681e-2	160	8409
Pituitary	X275.53	-9.53387	2.67534e-6	UBE2G1	Disorders of phosphorus metabolism	6.53842e-3	293	7588
Brain-Putamen-basalganglia	X513	15.8036	2.67834e-6	USP45	Respiratory abnormalities	1.03089e-1	484	7861
Brain-Putamen-basalganglia	X313	2.50431	2.71177e-6	WRB	Pervasive developmental disorders	2.94972e-2	75	8646
Colon-Sigmoid	X264.3	-11.9559	2.72922e-6	ZNF251	Delayed milestones	5.80743e-3	28	6138
Stomach	X686.2	-8.21294	2.82900e-6	ZBTB7C	Impetigo	2.25314e-2	20	6905
Brain-Putamen-basalganglia	X41.9	0.42741	2.83202e-6	WNT2	Infection with drug-resistant microorganisms	1.43957e-1	334	6607
Heart-AtrialAppendage	X191.11	13.0443	2.83683e-6	TSGA10	Cancer of brain	6.93078e-3	113	8655
Adipose-Subcutaneous	X394.2	5.87894	2.84545e-6	TMX3	Mitral valve disease	1.42220e-2	83	7079
Esophagus-GastroesophagealJunction	X394.2	5.77183	2.84545e-6	TMX3	Mitral valve disease	1.33623e-3	83	7079
Esophagus-GastroesophagealJunction	X430.1	-1.11825	2.88382e-6	TMCC2	Subarachnoid hemorrhage	1.09005e-2	51	6934
Cells-EBV-transformedlymphocytes	X521.1	-19.514	2.88982e-6	XRCC6	Dental caries	1.07053e-1	224	8243
Esophagus-Muscularis	X706.8	-2.03587	2.91459e-6	WDR31	Other specified diseases of sebaceous glands	1.17311e-1	52	8052
Cells-Transformedfibroblasts	X315	2.36052	2.94895e-6	ZNF486	Develomental delays and disorders	3.10086e-2	150	8646
Artery-Aorta	X601	-12.5456	2.96724e-6	TCF21	Inflammatory diseases of prostate	5.63654e-3	128	7335
Brain-Hippocampus	X352.2	0.00663122	3.00885e-6	UBR2	Facial nerve disorders [CN7]	3.59622e-2	68	7504
Brain-CerebellarHemisphere	X440.21	23.0659	3.03432e-6	WEE1	Atherosclerosis of native arteries of the extremities with ulceration or gangrene	8.45429e-2	90	6676
Brain-FrontalCortex-BA9	X259.1	2.33903	3.04004e-6	TMEM69	Nonspecific abnormal results of other endocrine function study	2.05232e-2	33	7558
SmallIntestine-TerminalIleum	X520.2	-3.69582	3.07061e-6	TEX12	Disturbances in tooth eruption	1.70745e-3	44	8243
Brain-Hippocampus	X751.1	2.08267	3.09326e-6	XRN1	Congenital anomalies of genital organs	1.57794e-2	35	8409
Brain-Putamen-basalganglia	X292.3	-5.7478	3.10633e-6	TIGIT	Memory loss	9.74069e-2	246	6654
Colon-Sigmoid	X290.11	7.26474	3.11539e-6	ZBED3	Alzheimer's disease	3.22082e-3	121	6654
SmallIntestine-TerminalIleum	X316	-1.29529	3.13904e-6	YDJC	Substance addiction and disorders	8.13772e-2	387	7008
Pituitary	X90	-6.0863	3.13911e-6	WFDC2	Sexually transmitted infections (not HIV or hepatitis)	9.10593e-3	23	9069
Pituitary	X250.23	-2.52983	3.16713e-6	TMEM196	Type 2 diabetes with ophthalmic manifestations	1.40806e-3	225	4936
Brain-Caudate-basalganglia	X378.1	0.408202	3.16999e-6	TRABD2B	Strabismus (not specified as paralytic)	2.64623e-2	42	7801
Colon-Sigmoid	X264.9	-11.3612	3.17648e-6	ZNF251	Lack of normal physiological development, unspecified	5.80743e-3	39	6138
Cells-EBV-transformedlymphocytes	X473.4	-12.1725	3.25901e-6	UBAP1L	Voice disturbance	8.25357e-2	201	6193
Muscle-Skeletal	X362.6	-6.02464	3.35473e-6	UCP3	Peripheral retinal degenerations	1.20295e-2	27	7724
Brain-FrontalCortex-BA9	X352	-0.955541	3.35808e-6	VNN3	Disorders of other cranial nerves	2.82352e-2	148	7504
Cells-EBV-transformedlymphocytes	X521	-19.2271	3.36068e-6	XRCC6	Diseases of hard tissues of teeth	1.07053e-1	230	8243
Brain-FrontalCortex-BA9	X150	1.94019	3.38567e-6	TGM5	Cancer of esophagus	6.36818e-2	65	8073
AdrenalGland	X574.3	-7.59285	3.41580e-6	TP53INP2	Cholecystitis without cholelithiasis	3.70270e-2	139	8056
Colon-Sigmoid	X313	0.851604	3.42645e-6	WRB	Pervasive developmental disorders	3.05338e-1	75	8646
Esophagus-Mucosa	X587	-0.72533	3.45161e-6	THEM4	Kidney replaced by transpant	8.92495e-2	672	5644
Brain-Putamen-basalganglia	X722.1	2.90381	3.47438e-6	ZNF445	Displacement of intervertebral disc	7.62594e-3	207	6852
Breast-MammaryTissue	X465.4	-2.57022	3.60385e-6	TSGA10	Acute laryngitis and tracheitis	8.51995e-2	22	6770
Adipose-Subcutaneous	X520.2	-3.22148	3.61597e-6	TEX12	Disturbances in tooth eruption	1.52338e-2	44	8243
Lung	X939	0.840059	3.61924e-6	TMEM65	Atopic/contact dermatitis due to other or unspecified	8.81441e-2	513	7230
Colon-Transverse	X250.6	-2.95336	3.62390e-6	VPS54	Polyneuropathy in diabetes	3.96417e-3	402	4936
Pancreas	X287.1	-7.58769	3.63528e-6	YARS	Spontaneous ecchymoses	1.54386e-3	21	5981
Colon-Sigmoid	X297.1	-0.0255495	3.65281e-6	USP45	Suicidal ideation	1.83243e-2	44	5392
Skin-NotSunExposed-Suprapubic	X401.3	1.29407	3.66403e-6	VPS41	Other hypertensive complications	9.78335e-3	521	3058
Adipose-Subcutaneous	X41.9	2.0488	3.67412e-6	TM4SF5	Infection with drug-resistant microorganisms	6.91081e-3	334	6607
Skin-SunExposed-Lowerleg	X605	0.849435	3.83050e-6	WWOX	Erectile dysfunction [ED]	1.52293e-1	368	8178
Brain-Hippocampus	X481	-1.48173	3.85346e-6	ZNF529	Influenza	2.86144e-2	139	6217
Brain-Nucleusaccumbens-basalganglia	X601	0.945033	3.92484e-6	THEGL	Inflammatory diseases of prostate	7.01574e-3	128	7335
Artery-Coronary	X220	-6.61711	4.02192e-6	ZNF468	Benign neoplasm of ovary	6.57418e-3	32	8547
Adipose-Subcutaneous	X255.1	2.96999	4.03561e-6	TFF2	Adrenal hyperfunction	1.74554e-2	55	7558
Muscle-Skeletal	X597.8	-24.548	4.04948e-6	VSIG8	Urethral hypermobility/ISD	1.20165e-3	61	8074
Artery-Tibial	X819	3.78816	4.05596e-6	TNFRSF4	Skull and face fracture and other intercranial injury	1.79937e-3	192	8639
Brain-Caudate-basalganglia	X965	-17.4781	4.06446e-6	UBR2	Poisoning by analgesics, antipyretics, and antirheumatics	2.27784e-2	30	6561
Brain-Hippocampus	X519.1	-13.1692	4.09290e-6	ZNF700	Tracheostomy complications	2.93806e-2	25	8048
Testis	X938	-2.83128	4.10471e-6	ZNF454	Dermatitis due to solar radiation	8.22159e-3	149	7230
Cells-EBV-transformedlymphocytes	X473	-10.4811	4.16562e-6	UBAP1L	Diseases of the larynx and vocal cords	8.25357e-2	311	6193
Colon-Transverse	X532	-1.96274	4.16766e-6	TIGIT	Dysphagia	1.70355e-2	896	5130
Brain-CerebellarHemisphere	X859	-1.68905	4.18657e-6	ZFP82	Complication due to other implant and internal device	1.14852e-1	197	6685
Esophagus-Mucosa	X433.12	2.42172	4.18976e-6	WSB2	Cerebral atherosclerosis	4.80765e-2	112	6934
Pituitary	X573.3	0.0566948	4.22429e-6	TRAF7	Hepatomegaly	6.54851e-2	40	6421
Heart-AtrialAppendage	X588.2	-18.5432	4.26570e-6	TTC6	Secondary hyperparathyroidism (of renal origin)	1.57006e-2	77	5644
Colon-Sigmoid	X743.21	7.20874	4.29599e-6	ZBED3	Pathologic fracture of vertebrae	3.22082e-3	77	6588
Spleen	X782.6	3.48722	4.30678e-6	ZCCHC10	Pallor and flushing	5.31875e-2	29	6796
Brain-CerebellarHemisphere	X428	4.11602	4.42245e-6	TMEM8C	Congestive heart failure; nonhypertensive	4.38828e-3	1613	6286
Colon-Sigmoid	X480.12	2.48089	4.42914e-6	WNT2	Pseudomonal pneumonia	1.01118e-2	105	6217
Pituitary	X569	0.882453	4.43242e-6	TFPI2	Other disorders of intestine	6.02945e-2	495	7242
Colon-Transverse	X523.1	2.76367	4.44199e-6	UBE2V2	Gingivitis	3.58650e-3	73	8243
Ovary	X624	4.63048	4.47269e-6	TGFB1I1	Symptoms involving female genital tract	1.26005e-2	31	8364
Brain-CerebellarHemisphere	X401.1	-0.425372	4.48063e-6	TRIM29	Essential hypertension	3.67714e-2	5150	3058
Brain-CerebellarHemisphere	X401.22	-0.689269	4.53693e-6	TRIM29	Hypertensive chronic kidney disease	3.67714e-2	1016	3058
Brain-Cerebellum	X738	-4.59884	4.53818e-6	UPK1B	Other acquired musculoskeletal deformity	2.01608e-3	178	7256
Artery-Coronary	X592.1	-13.7946	4.56554e-6	TELO2	Cystitis	4.49357e-2	145	5793
Artery-Tibial	X731	-6.50773	4.58530e-6	UMPS	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	1.59651e-2	23	8372
Testis	X573.3	5.62447	4.62354e-6	TCERG1L	Hepatomegaly	1.19626e-2	40	6421
Breast-MammaryTissue	X194	4.04669	4.62652e-6	TSPAN12	Cancer of other endocrine glands	1.93550e-3	31	8718
Artery-Tibial	X353.2	45.3515	4.65916e-6	TRPC3	Nerve root lesions	1.64564e-2	27	7504
Brain-Anteriorcingulatecortex-BA24	X172.22	3.22906	4.66365e-6	TGFBR1	Squamous cell carcinoma	1.83673e-2	83	7391
Lung	X872	4.20315	4.66587e-6	VSIG10	Traumatic amputation	3.86311e-2	46	7534
Brain-CerebellarHemisphere	X726.3	0.692039	4.67538e-6	ZNF286A	Bursitis	1.12513e-1	119	6730
Brain-Anteriorcingulatecortex-BA24	X525.1	0.137428	4.67844e-6	TFRC	Loss of teeth or edentulism	2.26626e-2	42	8243
Spleen	X763	4.70009	4.68021e-6	TNFRSF1A	Thoracic or lumbosacral neuritis or radiculitis, unspecified	3.86790e-2	250	7889
Breast-MammaryTissue	X292.1	-1.56886	4.73320e-6	TMEM107	Aphasia/speech disturbance	2.87438e-2	219	6654
Cells-Transformedfibroblasts	X967	-5.48995	4.73556e-6	ZNF20	Adverse effects of sedatives or other central nervous system depressants and anesthetics	1.63778e-2	40	6561
Thyroid	X589	11.6516	4.74079e-6	ZNF445	Abnormal results of function study of kidney	8.92487e-3	50	5644
Skin-SunExposed-Lowerleg	X710.12	-9.23902	4.74915e-6	TMEM54	Chronic osteomyelitis	1.72008e-3	154	7311
Cells-EBV-transformedlymphocytes	X150	1.09804	4.79941e-6	TGM5	Cancer of esophagus	3.11725e-1	65	8073
Esophagus-GastroesophagealJunction	X362.23	-0.84203	4.81255e-6	TMCC2	Cystoid macular degeneration of retina	1.09005e-2	61	7724
Cells-Transformedfibroblasts	X747.13	-86.6493	4.85040e-6	ZNF16	Congenital anomalies of great vessels	1.08287e-2	58	8634
AdrenalGland	X396	1.01321	4.86409e-6	TSEN15	Abnormal heart sounds	7.92405e-2	278	7079
Brain-Anteriorcingulatecortex-BA24	X220	-5.75469	4.87465e-6	ZNF468	Benign neoplasm of ovary	8.95021e-2	32	8547
Cells-Transformedfibroblasts	X212	13.8901	4.92636e-6	XDH	Benign neoplasm of respiratory and intrathoracic organs	1.49766e-3	45	8872
Pancreas	X961.1	-96.7745	4.99774e-6	WDFY4	Poisoning/allergy of sulfonamides	4.06307e-2	24	6561
Colon-Sigmoid	X722.9	0.302564	5.00917e-6	XKR8	Other and unspecified disc disorder	2.39433e-3	35	6852
Liver	X198.2	-1.00809	5.05759e-6	TUBB1	Secondary malignancy of respiratory organs	4.26524e-2	343	6274
